epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6038,2.36649,8.59348,0.9545,0.00151,0.45161,0.00243,0.00091,1.81872,6.18994,0.88092,0.0003,0.0003,0.0003
2,13.9332,2.05885,6.41646,0.89449,0.00022,0.06452,0.00013,3e-05,1.63906,6.0506,0.88177,0.000613862,0.000613862,0.000613862
3,17.77,2.15317,5.27032,0.92094,0.00086,0.25806,0.00083,0.00025,1.6407,5.50981,0.86441,0.000921388,0.000921388,0.000921388
4,21.6193,2.01332,4.87827,0.90616,0.00118,0.35484,0.00118,0.00045,1.7599,5.39967,0.89423,0.00122258,0.00122258,0.00122258
5,25.3368,2.0217,4.46347,0.91342,0.00032,0.09677,0.0002,0.00013,1.6221,5.2378,0.87462,0.00151743,0.00151743,0.00151743
6,28.824,1.99622,3.95194,0.9191,0.47366,0.29029,0.22867,0.07976,2.13166,3.75321,0.97372,0.00180595,0.00180595,0.00180595
7,32.4884,2.11485,3.81769,0.91854,0.92039,0.37356,0.4362,0.21916,1.87118,3.12302,0.90111,0.0018812,0.0018812,0.0018812
8,36.1989,1.94285,3.64698,0.89821,0.68035,0.48075,0.53901,0.24337,1.75634,2.57515,0.87999,0.0018614,0.0018614,0.0018614
9,39.6795,1.97816,3.17068,0.92008,0.80263,0.3871,0.38547,0.21828,1.52288,2.79533,0.85122,0.0018416,0.0018416,0.0018416
10,43.4282,1.88774,3.31972,0.8889,0.58894,0.32258,0.30259,0.17409,1.68428,3.00709,0.88672,0.0018218,0.0018218,0.0018218
11,46.9967,1.98786,3.26356,0.9301,0.84344,0.3871,0.3684,0.18621,1.62718,2.84112,0.88573,0.001802,0.001802,0.001802
12,50.497,1.9518,2.91243,0.88502,0.83659,0.3871,0.37785,0.19749,1.55817,2.94256,0.87588,0.0017822,0.0017822,0.0017822
13,54.3802,1.83342,2.52549,0.90529,0.78752,0.3871,0.35878,0.2062,1.5412,2.66319,0.86037,0.0017624,0.0017624,0.0017624
14,59.1041,1.73947,2.52033,0.87,0.8261,0.3871,0.3873,0.23062,1.55001,2.66682,0.86542,0.0017426,0.0017426,0.0017426
15,62.8973,1.87186,2.81145,0.89823,0.64964,0.35484,0.35944,0.21591,1.60545,2.94023,0.88776,0.0017228,0.0017228,0.0017228
16,66.4102,1.84673,2.31203,0.8506,0.85673,0.3871,0.35555,0.21857,1.56392,2.94333,0.88067,0.001703,0.001703,0.001703
17,69.9487,1.85461,2.19691,0.91066,0.73334,0.32258,0.32957,0.18402,1.70254,2.98985,0.88261,0.0016832,0.0016832,0.0016832
18,73.9153,1.77677,2.10629,0.87519,0.72952,0.41935,0.42261,0.22881,1.76813,2.57334,0.907,0.0016634,0.0016634,0.0016634
19,77.5828,1.8703,2.18346,0.89641,0.81234,0.41895,0.46954,0.23422,1.85661,2.44267,0.90888,0.0016436,0.0016436,0.0016436
20,81.1799,1.77836,2.01942,0.87592,0.77701,0.3871,0.38247,0.23384,1.71582,2.7487,0.9065,0.0016238,0.0016238,0.0016238
21,85.0926,1.68638,1.84731,0.86754,0.74684,0.3871,0.39385,0.24141,1.6146,2.86718,0.89173,0.001604,0.001604,0.001604
